id,category,product,condition_grade,age_years,reason_code,question_type,answer
1,appliances,mixer grinder,Good,2,upgrade,what is this product,This product is a 2 year old mixer grinder. It is a Bajaj 750W model with 3 jars included.
1,appliances,mixer grinder,Good,2,upgrade,whats the fault in this,There is no fault in this product. It works perfectly fine. One of the small jars has a minor scratch on the outside but it does not affect performance.
1,appliances,mixer grinder,Good,2,upgrade,why are you selling it,I am selling it because I have purchased a new and bigger mixer grinder for my family. I no longer need this one.
1,appliances,mixer grinder,Good,2,upgrade,whats the product condition,It is in good condition. I have used it regularly for 2 years but maintained it well. All blades are sharp and the motor runs smoothly.
2,baby_kids,baby monitor,Like New,1,outgrown,what is this product,This is a 1 year old baby monitor with video and audio feature. It is a Philips Avent model with night vision camera.
2,baby_kids,baby monitor,Like New,1,outgrown,whats the fault in this,There is absolutely no fault in this. My baby has outgrown the age where we needed monitoring so it has been sitting unused for the past 3 months.
2,baby_kids,baby monitor,Like New,1,outgrown,why are you selling it,I am selling it because my child is now 2 years old and we no longer need a baby monitor. It is just taking up space at home.
2,baby_kids,baby monitor,Like New,1,outgrown,whats the product condition,It is in like new condition. I have used it for only about 8 months and it has no scratches or damage. The camera and screen both work perfectly.
3,electronics,bluetooth earphones,Good,1,upgrade,what is this product,This is a 1 year old boat rockerz 255 bluetooth earphone. It comes with the original charging cable and ear tips.
3,electronics,bluetooth earphones,Good,1,upgrade,whats the fault in this,There is no major fault. The left earbud volume is very slightly lower than the right in certain frequencies but it is barely noticeable during normal use.
3,electronics,bluetooth earphones,Good,1,upgrade,why are you selling it,I got new wireless earbuds as a gift so I do not need these anymore. They are still working well.
3,electronics,bluetooth earphones,Good,1,upgrade,whats the product condition,The condition is good. There is minor wear on the cable near the earbuds from regular use but no cuts or damage. Battery life is still strong at around 5 to 6 hours.
4,fashion,running shoes,Good,1,size_issue,what is this product,These are Nike Revolution 6 running shoes in size 42. I bought them about a year ago from Amazon.
4,fashion,running shoes,Good,1,size_issue,whats the fault in this,There is no fault as such. The sole has normal wear from running but the upper part is clean and the structure is intact. No tears or broken laces.
4,fashion,running shoes,Good,1,size_issue,why are you selling it,They were a bit small for me. I thought size 42 would fit but my feet are slightly wider so I ordered size 43 instead. These barely got used.
4,fashion,running shoes,Good,1,size_issue,whats the product condition,The condition is good. I wore them maybe 4 to 5 times before realising the fit was off. Cleaned them before listing. The insoles are fresh and cushioning is intact.
5,electronics,wifi router,Fair,3,upgrade,what is this product,This is a TP-Link N300 wifi router that is about 3 years old. It supports 2.4GHz band and covers up to 3 rooms.
5,electronics,wifi router,Fair,3,upgrade,whats the fault in this,One of the two antennas has a small crack at the base but it is still attached and working. The wifi range is slightly reduced compared to when it was new but it works fine for basic use.
5,electronics,wifi router,Fair,3,upgrade,why are you selling it,I have upgraded to a dual band router with better speed as I started working from home. This one is no longer needed at my place.
5,electronics,wifi router,Fair,3,upgrade,whats the product condition,The condition is fair. It has 3 years of regular use. The body has some yellowing which is normal for older electronics. Functionally it still connects devices without dropping.
6,baby_kids,stroller,Good,2,outgrown,what is this product,This is a Luvlap baby stroller that is about 2 years old. It is a foldable model with a sunshade canopy and storage basket below.
6,baby_kids,stroller,Good,2,outgrown,whats the fault in this,"The canopy has a very small tear at one corner which does not affect the shade coverage. Otherwise everything including wheels, brakes and harness is fully functional."
6,baby_kids,stroller,Good,2,outgrown,why are you selling it,My child is now 3 years old and has outgrown the stroller completely. It has been sitting in our store room for the past 6 months so I decided to list it.
6,baby_kids,stroller,Good,2,outgrown,whats the product condition,It is in good condition. The fabric seat has been washed and is clean. The folding mechanism works smoothly. All 4 wheels rotate properly with no wobble.
7,appliances,electric iron,Good,2,duplicate,what is this product,This is a Philips dry iron box that is about 2 years old. It is a 1000W model with non stick soleplate.
7,appliances,electric iron,Good,2,duplicate,whats the fault in this,There is no fault in this iron. It heats up perfectly and the soleplate has no scratches. Works exactly as it should.
7,appliances,electric iron,Good,2,duplicate,why are you selling it,My mother gifted us another steam iron so now we have two iron boxes at home. We do not need both so I am selling the older one.
7,appliances,electric iron,Good,2,duplicate,whats the product condition,It is in good condition. Used regularly for about 2 years but maintained properly. The cord is intact with no fraying and the heat settings all work correctly.
8,kitchen,air fryer,Like New,0,gift_duplicate,what is this product,This is a Philips HD9252 air fryer. It is practically brand new as it was received as a wedding gift 4 months ago.
8,kitchen,air fryer,Like New,0,gift_duplicate,whats the fault in this,"There is absolutely no fault. It has been used only 3 to 4 times. It is in pristine condition with original box, manual and accessories all intact."
8,kitchen,air fryer,Like New,0,gift_duplicate,why are you selling it,We already had an air fryer at home and received this one as a duplicate wedding gift. We do not have space for two so we are selling this unused one.
8,kitchen,air fryer,Like New,0,gift_duplicate,whats the product condition,"The condition is like new. Barely used 3 times. No stains, no scratches. The original packing is available. It functions exactly as a new product would."
9,electronics,tablet,Good,2,upgrade,what is this product,This is a Samsung Galaxy Tab A7 lite that is about 2 years old. It is a 32GB wifi model with a 8.7 inch screen.
9,electronics,tablet,Good,2,upgrade,whats the fault in this,There is a very minor hairline scratch on the screen that is only visible in certain light angles. It does not affect the display at all. Functionally it is perfect.
